ministry,sector,state,region,implementing_agency,project_type,primary_bottleneck,original_cost_cr,planned_duration_months,project_age_months,duration_elapsed_ratio,remaining_planned_months,cumulative_expenditure_cr,physical_progress_pct,interim_financial_progress_pct,progress_decoupling_gap,expenditure_per_progress_point,milestone_count,milestones_completed,milestones_delayed,milestones_at_risk,milestone_delay_rate,milestone_completion_rate
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Bihar,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,612.67,60.0,18.0,0.3,42.0,742.63,100.0,121.21,21.21,7.43,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,PROCUREMENT,1077.25,40.0,18.0,0.45,22.0,1227.68,96.96,113.96,17.0,12.66,10,9,10,0,1.0,0.9
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,150.0,71.0,18.0,0.2535,53.0,75.79,33.51,50.53,17.02,2.26,10,3,4,0,0.4,0.3
Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,3809.79,50.0,18.0,0.36,32.0,5017.4,100.0,131.7,31.7,50.17,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Tamil Nadu,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,814.57,54.0,18.0,0.3333,36.0,545.72,67.32,66.99,-0.33,8.11,10,6,2,1,0.2,0.6
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Uttar Pradesh,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,NONE,472.56,65.0,18.0,0.2769,47.0,480.98,100.0,101.78,1.78,4.81,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Greenfield Construction,CONTRACTOR,1397.53,64.0,18.0,0.2812,46.0,1625.38,100.0,116.3,16.3,16.25,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,FOREST_CLEARANCE,150.0,68.0,18.0,0.2647,50.0,166.81,90.14,111.21,21.07,1.85,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,UTILITY_SHIFTING,2878.54,44.0,18.0,0.4091,26.0,3152.29,92.84,109.51,16.67,33.95,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Corridor Modernization,CONTRACTOR,1227.54,51.0,18.0,0.3529,33.0,1463.43,90.54,119.22,28.68,16.16,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Corridor Modernization,NONE,150.0,67.0,18.0,0.2687,49.0,164.46,100.0,109.64,9.64,1.64,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Greenfield Construction,UTILITY_SHIFTING,675.13,69.0,18.0,0.2609,51.0,259.29,29.25,38.41,9.16,8.86,10,2,3,0,0.3,0.2
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,575.73,62.0,18.0,0.2903,44.0,587.0,96.79,101.96,5.17,6.06,10,9,9,0,0.9,0.9
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,1982.72,68.0,18.0,0.2647,50.0,2107.83,92.63,106.31,13.68,22.76,10,8,8,0,0.8,0.8
Ministry of Power,Power,Karnataka,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,1292.6,34.0,18.0,0.5294,16.0,1331.63,91.09,103.02,11.93,14.62,10,8,8,0,0.8,0.8
Ministry of Power,Power,Maharashtra,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,LAND_ACQUISITION,2298.62,72.0,18.0,0.25,54.0,1858.4,63.83,80.85,17.02,29.11,10,6,7,0,0.7,0.6
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,ENVIRONMENTAL_CLEARANCE,1631.95,32.0,18.0,0.5625,14.0,2021.43,100.0,123.87,23.87,20.21,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Odisha,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,NONE,771.64,56.0,18.0,0.3214,38.0,792.41,98.9,102.69,3.79,8.01,10,9,9,0,0.9,0.9
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,4287.61,58.0,18.0,0.3103,40.0,4390.95,100.0,102.41,2.41,43.91,10,10,9,0,0.9,1.0
Ministry of Jal Shakti,Water Resources,Uttar Pradesh,North,National Water Development Agency,Strategic Interconnection,NONE,489.8,71.0,18.0,0.2535,53.0,497.24,92.18,101.52,9.34,5.39,10,8,8,0,0.8,0.8
Ministry of Jal Shakti,Water Resources,Karnataka,South,National Water Development Agency,Capacity Augmentation / 6-Laning,ENVIRONMENTAL_CLEARANCE,1119.64,31.0,18.0,0.5806,13.0,1260.99,84.49,112.62,28.13,14.92,10,8,8,0,0.8,0.8
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,FOREST_CLEARANCE,394.96,31.0,18.0,0.5806,13.0,504.04,100.0,127.62,27.62,5.04,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Corridor Modernization,ENVIRONMENTAL_CLEARANCE,266.78,28.0,18.0,0.6429,10.0,337.51,100.0,126.51,26.51,3.38,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Jharkhand,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,LEGAL_DISPUTE,2847.68,68.0,18.0,0.2647,50.0,3303.25,100.0,116.0,16.0,33.03,10,10,9,0,0.9,1.0
Ministry of Power,Power,Maharashtra,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Greenfield Construction,LAND_ACQUISITION,7408.91,63.0,18.0,0.2857,45.0,6582.1,59.1,88.84,29.74,111.37,10,5,6,0,0.6,0.5
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Strategic Interconnection,FOREST_CLEARANCE,2041.37,67.0,18.0,0.2687,49.0,2395.06,87.1,117.33,30.23,27.5,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,INTERDEPARTMENTAL_DEPENDENCY,1344.89,47.0,18.0,0.383,29.0,1601.77,100.0,119.1,19.1,16.02,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,FOREST_CLEARANCE,1292.08,59.0,18.0,0.3051,41.0,643.25,31.53,49.78,18.25,20.4,10,3,4,0,0.4,0.3
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,465.71,64.0,18.0,0.2812,46.0,415.94,93.89,89.31,-4.58,4.43,10,8,7,1,0.7,0.8
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Corridor Modernization,NONE,378.32,59.0,18.0,0.3051,41.0,349.27,92.57,92.32,-0.25,3.77,10,8,8,0,0.8,0.8
Ministry of Jal Shakti,Water Resources,Gujarat,West,National Water Development Agency,Greenfield Construction,FOREST_CLEARANCE,682.79,48.0,18.0,0.375,30.0,469.19,45.41,68.72,23.31,10.33,10,4,5,0,0.5,0.4
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Corridor Modernization,NONE,829.45,32.0,18.0,0.5625,14.0,903.66,97.15,108.95,11.8,9.3,10,9,10,0,1.0,0.9
Ministry of Coal,Coal Infrastructure,Jharkhand,East,Coal Infrastructure PSU,Greenfield Construction,LAND_ACQUISITION,2773.33,35.0,18.0,0.5143,17.0,3672.94,100.0,132.44,32.44,36.73,10,10,10,0,1.0,1.0
Ministry of Power,Power,Uttar Pradesh,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Capacity Augmentation / 6-Laning,NONE,3693.14,57.0,18.0,0.3158,39.0,1908.95,43.23,51.69,8.46,44.16,10,4,5,0,0.5,0.4
Ministry of Power,Power,Andhra Pradesh,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,NONE,1548.66,46.0,18.0,0.3913,28.0,1515.27,100.0,97.84,-2.16,15.15,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,1186.37,50.0,18.0,0.36,32.0,1178.06,91.99,99.3,7.31,12.81,10,8,0,0,0.0,0.8
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Rajasthan,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,CONTRACTOR,689.08,27.0,18.0,0.6667,9.0,731.5,100.0,106.16,6.16,7.32,10,10,6,0,0.6,1.0
Ministry of Power,Power,Assam,Northeast,National Thermal & Hydro Power Corp (NTPC/NHPC),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,3897.14,41.0,18.0,0.439,23.0,4822.25,100.0,123.74,23.74,48.22,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Corridor Modernization,NONE,380.64,30.0,18.0,0.6,12.0,396.82,100.0,104.25,4.25,3.97,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Greenfield Construction,LEGAL_DISPUTE,2234.71,45.0,18.0,0.4,27.0,2028.12,77.86,90.76,12.9,26.05,10,7,8,0,0.8,0.7
Ministry of Railways,Railways,Jharkhand,East,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,LAND_ACQUISITION,1409.97,34.0,18.0,0.5294,16.0,1685.41,100.0,119.54,19.54,16.85,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,150.0,54.0,18.0,0.3333,36.0,187.66,100.0,125.11,25.11,1.88,10,10,10,0,1.0,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Rajasthan,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,ENVIRONMENTAL_CLEARANCE,187.23,60.0,18.0,0.3,42.0,160.52,65.99,85.73,19.74,2.43,10,6,7,0,0.7,0.6
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,DESIGN_CHANGE,413.76,34.0,18.0,0.5294,16.0,454.71,86.99,109.9,22.91,5.23,10,8,6,1,0.6,0.8
Ministry of Power,Power,Andhra Pradesh,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,INTERDEPARTMENTAL_DEPENDENCY,3714.15,68.0,18.0,0.2647,50.0,3786.92,82.36,101.96,19.6,45.98,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Strategic Interconnection,FOREST_CLEARANCE,541.43,53.0,18.0,0.3396,35.0,633.65,100.0,117.03,17.03,6.34,10,10,10,0,1.0,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Madhya Pradesh,Central,Metro Rail Infrastructure SPV,Greenfield Construction,NONE,1105.36,71.0,18.0,0.2535,53.0,1149.23,100.0,103.97,3.97,11.49,10,10,0,0,0.0,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,LAND_ACQUISITION,665.81,39.0,18.0,0.4615,21.0,563.35,67.41,84.61,17.2,8.36,10,6,7,0,0.7,0.6
Ministry of Power,Power,Jharkhand,East,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,NONE,5595.73,65.0,18.0,0.2769,47.0,2666.24,50.19,47.65,-2.54,53.12,10,4,2,1,0.2,0.4
Ministry of Coal,Coal Infrastructure,Uttar Pradesh,North,Coal Infrastructure PSU,Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,530.78,60.0,18.0,0.3,42.0,659.9,100.0,124.33,24.33,6.6,10,10,10,0,1.0,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Rajasthan,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,NONE,365.35,36.0,18.0,0.5,18.0,371.78,100.0,101.76,1.76,3.72,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,NONE,1829.81,67.0,18.0,0.2687,49.0,1849.43,100.0,101.07,1.07,18.49,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,FOREST_CLEARANCE,339.93,24.0,18.0,0.75,6.0,409.59,100.0,120.49,20.49,4.1,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Greenfield Construction,FOREST_CLEARANCE,922.53,43.0,18.0,0.4186,25.0,1150.2,100.0,124.68,24.68,11.5,10,10,10,0,1.0,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Odisha,East,Metro Rail Infrastructure SPV,Strategic Interconnection,NONE,1948.94,49.0,18.0,0.3673,31.0,2027.07,100.0,104.01,4.01,20.27,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,712.47,58.0,18.0,0.3103,40.0,726.91,100.0,102.03,2.03,7.27,10,10,6,0,0.6,1.0
Ministry of Power,Power,Telangana,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,LEGAL_DISPUTE,3390.09,32.0,18.0,0.5625,14.0,4653.68,100.0,137.27,37.27,46.54,10,10,10,0,1.0,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Rajasthan,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,NONE,150.0,63.0,18.0,0.2857,45.0,150.67,100.0,100.45,0.45,1.51,10,10,8,0,0.8,1.0
Ministry of Railways,Railways,Jharkhand,East,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,LAND_ACQUISITION,4140.1,67.0,18.0,0.2687,49.0,3746.56,64.44,90.49,26.05,58.14,10,6,7,0,0.7,0.6
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Corridor Modernization,FOREST_CLEARANCE,150.0,62.0,18.0,0.2903,44.0,172.57,81.15,115.05,33.9,2.13,10,7,8,0,0.8,0.7
Ministry of Civil Aviation,Civil Aviation,Uttar Pradesh,North,Airports Authority of India (AAI),Greenfield Construction,FOREST_CLEARANCE,4132.92,30.0,18.0,0.6,12.0,5414.28,100.0,131.0,31.0,54.14,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Strategic Interconnection,PROCUREMENT,265.14,26.0,18.0,0.6923,8.0,267.2,100.0,100.78,0.78,2.67,10,10,0,0,0.0,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Maharashtra,West,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,LAND_ACQUISITION,316.49,70.0,18.0,0.2571,52.0,394.31,100.0,124.59,24.59,3.94,10,10,10,0,1.0,1.0
Ministry of Power,Power,West Bengal,East,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,CONTRACTOR,372.08,26.0,18.0,0.6923,8.0,430.78,100.0,115.78,15.78,4.31,10,10,9,0,0.9,1.0
Ministry of Power,Power,Uttar Pradesh,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,NONE,3907.3,71.0,18.0,0.2535,53.0,4146.21,100.0,106.11,6.11,41.46,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Uttar Pradesh,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,NONE,227.24,43.0,18.0,0.4186,25.0,238.39,95.28,104.91,9.63,2.5,10,9,9,0,0.9,0.9
Ministry of Housing & Urban Affairs,Urban Transit,Odisha,East,Metro Rail Infrastructure SPV,Strategic Interconnection,FOREST_CLEARANCE,407.8,64.0,18.0,0.2812,46.0,490.05,100.0,120.17,20.17,4.9,10,10,10,0,1.0,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,West Bengal,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,DESIGN_CHANGE,2319.03,28.0,18.0,0.6429,10.0,2516.86,100.0,108.53,8.53,25.17,10,10,8,0,0.8,1.0
Ministry of Jal Shakti,Water Resources,Bihar,East,National Water Development Agency,Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,300.36,58.0,18.0,0.3103,40.0,209.23,43.08,69.66,26.58,4.86,10,4,5,0,0.5,0.4
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Tamil Nadu,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,CONTRACTOR,1470.53,34.0,18.0,0.5294,16.0,1657.21,100.0,112.69,12.69,16.57,10,10,9,0,0.9,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Karnataka,South,Metro Rail Infrastructure SPV,Strategic Interconnection,LAND_ACQUISITION,2806.66,36.0,18.0,0.5,18.0,3451.35,100.0,122.97,22.97,34.51,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Greenfield Construction,FOREST_CLEARANCE,304.75,28.0,18.0,0.6429,10.0,377.26,100.0,123.79,23.79,3.77,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,1287.86,38.0,18.0,0.4737,20.0,1650.27,100.0,128.14,28.14,16.5,10,10,10,0,1.0,1.0
Ministry of Housing & Urban Affairs,Urban Transit,West Bengal,East,Metro Rail Infrastructure SPV,Corridor Modernization,NONE,330.83,57.0,18.0,0.3158,39.0,292.18,84.51,88.32,3.81,3.46,10,8,7,1,0.7,0.8
Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,3925.84,69.0,18.0,0.2609,51.0,3317.02,67.36,84.49,17.13,49.24,10,6,7,0,0.7,0.6
Ministry of Power,Power,Rajasthan,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Greenfield Construction,LEGAL_DISPUTE,2083.73,61.0,18.0,0.2951,43.0,2550.99,91.21,122.42,31.21,27.97,10,8,9,0,0.9,0.8
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Tamil Nadu,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,CONTRACTOR,398.52,60.0,18.0,0.3,42.0,419.81,91.1,105.34,14.24,4.61,10,8,9,0,0.9,0.8
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Madhya Pradesh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,CONTRACTOR,150.0,64.0,18.0,0.2812,46.0,178.87,100.0,119.25,19.25,1.79,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,280.89,38.0,18.0,0.4737,20.0,262.41,93.75,93.42,-0.33,2.8,10,8,0,0,0.0,0.8
Ministry of Housing & Urban Affairs,Urban Transit,Karnataka,South,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,LAND_ACQUISITION,538.29,35.0,18.0,0.5143,17.0,624.55,100.0,116.02,16.02,6.25,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Corridor Modernization,LAND_ACQUISITION,1488.89,24.0,18.0,0.75,6.0,1830.23,100.0,122.93,22.93,18.3,10,10,9,0,0.9,1.0
Ministry of Power,Power,Gujarat,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,NONE,502.45,61.0,18.0,0.2951,43.0,522.89,91.41,104.07,12.66,5.72,10,8,8,0,0.8,0.8
Ministry of Housing & Urban Affairs,Urban Transit,Uttar Pradesh,North,Metro Rail Infrastructure SPV,Greenfield Construction,NONE,2521.66,27.0,18.0,0.6667,9.0,2868.01,100.0,113.73,13.73,28.68,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Corridor Modernization,LAND_ACQUISITION,1059.61,26.0,18.0,0.6923,8.0,1187.53,100.0,112.07,12.07,11.88,10,10,6,0,0.6,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Strategic Interconnection,PROCUREMENT,412.59,70.0,18.0,0.2571,52.0,476.13,95.89,115.4,19.51,4.97,10,9,10,0,1.0,0.9
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,UTILITY_SHIFTING,362.72,69.0,18.0,0.2609,51.0,402.2,84.28,110.88,26.6,4.77,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,1765.5,38.0,18.0,0.4737,20.0,1793.54,100.0,101.59,1.59,17.94,10,10,0,0,0.0,1.0
Ministry of Civil Aviation,Civil Aviation,Telangana,South,Airports Authority of India (AAI),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,1240.75,65.0,18.0,0.2769,47.0,1074.93,67.01,86.64,19.63,16.04,10,6,7,0,0.7,0.6
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Greenfield Construction,PROCUREMENT,2932.69,30.0,18.0,0.6,12.0,3576.25,100.0,121.94,21.94,35.76,10,10,9,0,0.9,1.0
Ministry of Power,Power,Bihar,East,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,LAND_ACQUISITION,433.13,65.0,18.0,0.2769,47.0,183.43,33.1,42.35,9.25,5.54,10,3,4,0,0.4,0.3
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,LAND_ACQUISITION,1472.83,40.0,18.0,0.45,22.0,1785.17,68.58,121.21,52.63,26.03,10,6,7,0,0.7,0.6
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Karnataka,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,NONE,9789.22,40.0,18.0,0.45,22.0,10726.42,95.83,109.57,13.74,111.93,10,9,9,0,0.9,0.9
Ministry of Road Transport & Highways,Roads & Highways,Assam,Northeast,National Highways Authority of India (NHAI),Corridor Modernization,NONE,518.73,53.0,18.0,0.3396,35.0,556.05,100.0,107.19,7.19,5.56,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Jharkhand,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,835.96,25.0,18.0,0.72,7.0,1034.88,100.0,123.8,23.8,10.35,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Assam,Northeast,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,963.76,70.0,18.0,0.2571,52.0,919.33,66.72,95.39,28.67,13.78,10,6,7,0,0.7,0.6
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,DESIGN_CHANGE,1940.63,45.0,18.0,0.4,27.0,2247.37,100.0,115.81,15.81,22.47,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Maharashtra,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,NONE,3734.17,61.0,18.0,0.2951,43.0,2118.58,58.12,56.73,-1.39,36.45,10,5,5,0,0.5,0.5
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,842.3,66.0,18.0,0.2727,48.0,866.29,77.5,102.85,25.35,11.18,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,6617.97,25.0,18.0,0.72,7.0,7158.81,100.0,108.17,8.17,71.59,10,10,7,0,0.7,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Uttar Pradesh,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,LAND_ACQUISITION,357.47,43.0,18.0,0.4186,25.0,382.09,75.86,106.89,31.03,5.04,10,7,8,0,0.8,0.7
Ministry of Housing & Urban Affairs,Urban Transit,Bihar,East,Metro Rail Infrastructure SPV,Corridor Modernization,PROCUREMENT,4293.83,49.0,18.0,0.3673,31.0,4369.4,95.35,101.76,6.41,45.82,10,9,10,0,1.0,0.9
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Telangana,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,NONE,240.82,56.0,18.0,0.3214,38.0,176.61,67.75,73.34,5.59,2.61,10,6,5,1,0.5,0.6
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,882.18,34.0,18.0,0.5294,16.0,1056.22,100.0,119.73,19.73,10.56,10,10,9,0,0.9,1.0
Ministry of Power,Power,Jharkhand,East,National Thermal & Hydro Power Corp (NTPC/NHPC),Greenfield Construction,NONE,784.98,24.0,18.0,0.75,6.0,878.47,100.0,111.91,11.91,8.78,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,Central,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,CONTRACTOR,1194.82,45.0,18.0,0.4,27.0,1324.82,100.0,110.88,10.88,13.25,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,1461.68,69.0,18.0,0.2609,51.0,1380.87,85.63,94.47,8.84,16.13,10,8,4,0,0.4,0.8
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,1389.32,49.0,18.0,0.3673,31.0,1537.27,100.0,110.65,10.65,15.37,10,10,10,0,1.0,1.0
